StationCode,SampleDate,Lat,Long
NZEZ2,1/21/2004,38.0505,-121.8845
NZEZ6,1/21/2004,38.0542,-121.9473
NZEZ2,2/19/2004,38.0463,-121.9183
NZEZ6,2/19/2004,38.0612,-122.0185
NZEZ2,3/17/2004,38.0599,-121.99
NZEZ6,3/17/2004,38.062,-122.0203
NZEZ2,4/15/2004,38.0597,-121.9882
NZEZ2,5/13/2004,38.0522,-121.8787
NZEZ6,5/13/2004,38.0577,-121.8777
NZEZ2,6/9/2004,38.0845,-121.7391
NZEZ6,6/9/2004,38.0605,-121.8657
NZEZ2,7/8/2004,38.0747,-121.7697
NZEZ6,7/8/2004,38.0625,-121.8205
NZEZ2,8/24/2004,38.0723,-121.773
NZEZ6,8/24/2004,38.0593,-121.867
NZEZ2,9/23/2004,38.0845,-121.7391
NZEZ6,9/23/2004,38.0625,-121.8205
NZEZ2,10/21/2004,38.1067,-121.7163
NZEZ6,10/21/2004,38.0658,-121.7862
NZEZ2,11/22/2004,38.0688,-121.7815
NZEZ6,11/22/2004,38.0628,-121.7917
NZEZ2,12/21/2004,38.0845,-121.7391
NZEZ6,12/21/2004,NA,NA
NZEZ2,1/20/2005,38.0555,-121.8743
NZEZ6,1/20/2005,38.0463,-121.9183
NZEZ2,2/17/2005,38.0638,-121.8535
NZEZ6,2/17/2005,38.0466,-121.903
NZEZ2,3/22/2005,38.0463,-121.9183
NZEZ6,3/22/2005,38.0599,-121.99
NZEZ2,4/19/2005,38.0535,-121.9477
NZEZ6,4/19/2005,38.0599,-121.99
NZEZ2,5/19/2005,38.0631,-122.0264
NZEZ6,5/19/2005,38.0655,-122.0537
NZEZ2,6/16/2005,38.0582,-121.9668
NZEZ6,6/16/2005,38.063,-122.0215
NZEZ2,7/14/2005,38.0495,-121.888
NZEZ6,7/14/2005,38.0512,-121.9373
NZEZ2,8/11/2005,38.0602,-121.7939
NZEZ6,8/11/2005,38.0463,-121.9183
NZEZ2,9/26/2005,38.0633,-121.7937
NZEZ6,9/26/2005,38.0562,-121.874
NZEZ2,10/25/2005,38.0977,-121.7282
NZEZ6,10/25/2005,38.0628,-121.7918
NZEZ2,11/22/2005,38.0995,-121.728
NZEZ6,11/22/2005,38.0643,-121.7912
NZEZ2,12/22/2005,38.0605,-121.8092
NZEZ6,12/22/2005,38.064,-121.8453
NZEZ2,1/24/2006,38.0587,-121.9728
NZEZ6,1/24/2006,38.0597,-121.9982
NZEZ2,2/22/2006,38.0475,-121.89
NZEZ6,2/22/2006,38.0463,-121.9183
NZEZ2,3/23/2006,38.0662,-122.0447
NZEZ6,3/23/2006,38.0633,-122.0638
NZEZ2,4/25/2006,38.0375,-122.1738
NZEZ6,4/25/2006,38.0543,-122.1942
NZEZ2,5/22/2006,38.0602,-122.0682
NZEZ6,5/22/2006,38.0507,-122.0927
NZEZ2,6/26/2006,38.0638,-122.03
NZEZ6,6/26/2006,38.0532,-122.0825
NZEZ6,7/18/2006,38.0557,-121.9542
NZEZ2,7/19/2006,38.0575,-121.8708
NZEZ2,8/16/2006,38.0625,-121.8205
NZEZ6,8/16/2006,38.0593,-121.9595
NZEZ2,9/14/2006,38.0618,-121.7985
NZEZ6,9/14/2006,38.0517,-121.8813
NZEZ2,10/16/2006,38.0727,-121.767
NZEZ6,10/16/2006,38.0625,-121.8205
NZEZ2,11/14/2006,38.106,-121.717
NZEZ6,11/14/2006,38.0712,-121.7758
NZEZ2,12/12/2006,38.1032,-121.7232
NZEZ6,12/12/2006,38.0657,-121.788
NZEZ2,1/16/2007,38.0845,-121.7391
NZEZ6,1/16/2007,38.0595,-121.8027
NZEZ2,2/14/2007,38.0497,-121.8843
NZEZ6,2/14/2007,38.0525,-121.9427
NZEZ2,3/13/2007,38.0625,-121.8205
NZEZ6,3/13/2007,38.0505,-121.8827
NZEZ2,4/12/2007,38.0566,-121.8713
NZEZ6,4/12/2007,38.0558,-121.9515
NZEZ2,5/10/2007,38.0625,-121.8205
NZEZ6,5/10/2007,38.0458,-121.8995
NZEZ2,6/11/2007,38.0645,-121.8342
NZEZ6,6/11/2007,38.0463,-121.9183
NZEZ2,7/20/2007,38.0655,-121.7868
NZEZ6,7/20/2007,38.061,-121.8658
NZEZ2,8/20/2007,38.0662,-121.7855
NZEZ6,8/20/2007,38.06,-121.8645
NZEZ2,9/19/2007,38.0763,-121.7675
NZEZ6,9/19/2007,38.0625,-121.8205
NZEZ2,10/17/2007,38.0922,-121.7357
NZEZ6,10/17/2007,38.0607,-121.7988
NZEZ2,11/15/2007,38.0933,-121.7368
NZEZ6,11/15/2007,38.0598,-121.8002
NZEZ2,12/17/2007,38.0913,-121.7393
NZEZ6,12/17/2007,38.0788,-121.7648
NZEZ2,1/16/2008,38.0518,-121.8807
NZEZ6,1/16/2008,38.049,-121.936
NZEZ2,2/15/2008,38.049,-121.9153
NZEZ6,2/15/2008,38.0537,-121.9413
NZEZ2,3/14/2008,38.0548,-121.8723
NZEZ6,3/14/2008,38.0505,-121.9367
NZEZ2,4/14/2008,38.0603,-121.8
NZEZ6,4/14/2008,38.06,-121.8645
NZEZ2,5/12/2008,38.0584,-121.8051
NZEZ6,5/12/2008,38.0523,-121.8762
NZEZ2,6/11/2008,38.0612,-121.8128
NZEZ6,6/11/2008,38.0473,-121.8982
NZEZ2,7/9/2008,38.0825,-121.7535
NZEZ6,7/9/2008,38.0625,-121.8205
NZEZ2,8/11/2008,38.0972,-121.7293
NZEZ6,8/11/2008,38.0625,-121.7935
NZEZ2,9/5/2008,38.0995,-121.7293
NZEZ6,9/5/2008,38.07,-121.7792
NZEZ2,10/6/2008,38.0972,-121.7318
NZEZ6,10/6/2008,38.0648,-121.7893
NZEZ2,11/19/2008,38.1197,-121.7018
NZEZ6,11/19/2008,38.0845,-121.7391
NZEZ2,12/5/2008,38.1168,-121.7037
NZEZ6,12/5/2008,38.0803,-121.7612
NZEZ2,1/16/2009,38.0985,-121.7302
NZEZ6,1/16/2009,38.0767,-121.7683
NZEZ2,2/19/2009,38.065,-121.8375
NZEZ6,2/19/2009,38.0597,-121.867
NZEZ2,3/20/2009,38.0502,-121.8807
NZEZ6,3/20/2009,38.0463,-121.9183
NZEZ2,4/17/2009,38.0463,-121.9183
NZEZ6,4/17/2009,38.055,-121.9472
NZEZ2,5/18/2009,38.0517,-121.877
NZEZ6,5/18/2009,38.0463,-121.9183
NZEZ2,6/17/2009,38.061,-121.865
NZEZ6,6/17/2009,38.0593,-121.958
NZEZ2,7/15/2009,38.061,-121.7992
NZEZ6,7/15/2009,38.0512,-121.8783
NZEZ2,8/14/2009,38.071,-121.7775
NZEZ6,8/14/2009,38.0625,-121.8205
NZEZ2,9/11/2009,38.0845,-121.7391
NZEZ6,9/11/2009,38.0608,-121.815
NZEZ2,10/9/2009,38.1002,-121.7257
NZEZ6,10/9/2009,38.0672,-121.785
NZEZ2,11/6/2009,38.0942,-121.7357
NZEZ6,11/6/2009,38.0602,-121.8032
NZEZ2,12/10/2009,38.1257,-121.6968
NZEZ6,12/10/2009,38.0845,-121.7391
NZEZ2,1/8/2010,38.088,-121.7432
NZEZ6,1/8/2010,38.073,-121.7762
NZEZ2,2/10/2010,38.0697,-121.9908
NZEZ2,3/10/2010,38.0599,-121.99
NZEZ6,3/10/2010,38.0642,-122.0233
NZEZ2,4/7/2010,38.0485,-121.8882
NZEZ6,4/7/2010,38.0562,-121.9582
NZEZ2,5/7/2010,38.059,-121.967
NZEZ6,5/7/2010,38.0599,-121.99
NZEZ2,6/4/2010,38.0588,-121.9673
NZEZ6,6/4/2010,38.0599,-121.99
NZEZ2,7/6/2010,38.0625,-121.8205
NZEZ6,7/6/2010,38.0463,-121.9183
NZEZ2,8/4/2010,38.0625,-121.8205
NZEZ6,8/4/2010,38.0463,-121.9183
NZEZ2,9/15/2010,38.0783,-121.7633
NZEZ6,9/15/2010,38.0622,-121.8233
NZEZ2,10/14/2010,38.0845,-121.7391
NZEZ6,10/14/2010,38.064,-121.7913
NZEZ2,11/15/2010,38.1017,-121.7225
NZEZ6,11/15/2010,38.0678,-121.7822
NZEZ2,12/15/2010,38.0608,-121.814
NZEZ6,12/15/2010,38.0643,-121.8428
NZEZ2,1/14/2011,38.0533,-121.8743
NZEZ6,1/14/2011,38.0463,-121.9183
NZEZ2,2/14/2011,38.0668,-121.7902
NZEZ6,2/14/2011,38.0642,-121.8227
NZEZ2,3/14/2011,38.0532,-121.9465
NZEZ6,3/14/2011,38.0588,-121.9707
NZEZ2,4/14/2011,38.041,-122.115
NZEZ6,4/14/2011,38.0444,-122.1177
NZEZ2,5/16/2011,38.0595,-122.0702
NZEZ6,5/16/2011,38.0358,-122.1616
NZEZ2,6/8/2011,38.064,-122.0317
NZEZ6,6/8/2011,38.0652,-122.0558
NZEZ2,7/8/2011,38.066,-122.0432
NZEZ6,7/8/2011,38.0632,-122.0617
NZEZ2,8/23/2011,38.0623,-121.861
NZEZ6,8/23/2011,38.0573,-121.9768
NZEZ2,9/21/2011,38.0625,-121.8205
NZEZ6,9/21/2011,38.0511,-121.8819
NZEZ2,10/19/2011,38.0549,-121.8742
NZEZ6,10/19/2011,38.0533,-121.9453
NZEZ2,11/18/2011,38.0845,-121.7391
NZEZ6,11/18/2011,38.0625,-121.8205
NZEZ2,12/19/2011,38.0845,-121.7391
NZEZ6,12/19/2011,38.0645,-121.791
NZEZ2,1/19/2012,38.1032,-121.7232
NZEZ6,1/19/2012,38.0825,-121.7574
NZEZ2,2/15/2012,38.0603,-121.8048
NZEZ6,2/15/2012,38.0463,-121.9183
NZEZ2,3/16/2012,38.0678,-121.7833
NZEZ6,3/16/2012,38.0625,-121.8205
NZEZ2,4/13/2012,38.0519,-121.9357
NZEZ6,4/13/2012,38.0599,-121.99
NZEZ2,5/14/2012,38.0579,-121.9629
NZEZ6,5/14/2012,38.061,-122.0105
NZEZ2,6/13/2012,38.0669,-121.7842
NZEZ6,6/13/2012,38.057,-121.8702
NZEZ2,7/11/2012,38.0625,-121.8205
NZEZ6,7/11/2012,38.0463,-121.9183
NZEZ2,8/9/2012,38.0625,-121.8205
NZEZ6,8/9/2012,38.0463,-121.9183
NZEZ2,9/7/2012,38.0752,-121.769
NZEZ6,9/7/2012,38.0625,-121.8226
NZEZ2,10/8/2012,38.0845,-121.7391
NZEZ6,10/8/2012,38.0625,-121.8205
NZEZ2,11/7/2012,38.1179,-121.7027
NZEZ6,11/7/2012,38.0845,-121.7391
NZEZ2,12/10/2012,38.0599,-121.99
