geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
EMP NZ074	38.0222222222222	38.0222222222222	-121.803611111111	-121.803611111111
EMP NZ080	38.0733333333333	38.0733333333333	-121.676666666667	-121.676666666667
EMP NZD19	38.0438888888889	38.0438888888889	-121.613611111111	-121.613611111111
EMP NZ050	38.0580555555556	38.0580555555556	-121.965277777778	-121.965277777778
EMP NZ028	38.1172222222222	38.1172222222222	-122.047222222222	-122.047222222222
EMP NZ020	38.0597222222222	38.0597222222222	-122.109722222222	-122.109722222222
EMP NZ044	38.065	38.065	-122.061111111111	-122.061111111111
EMP NZ056	38.0488888888889	38.0488888888889	-121.884722222222	-121.884722222222
EMP NZ022	38.0719444444444	38.0719444444444	-122.096111111111	-122.096111111111
EMP NZ024	38.0930555555556	38.0930555555556	-122.069166666667	-122.069166666667
EMP NZ030	38.1152777777778	38.1152777777778	-122.051944444444	-122.051944444444
EMP NZ032	38.1702777777778	38.1702777777778	-122.020833333333	-122.020833333333
EMP NZC09	37.8344444444444	37.8344444444444	-121.553888888889	-121.553888888889
EMP NZD28	37.9827777777778	37.9827777777778	-121.577222222222	-121.577222222222
EMP NZ104	38.0563888888889	38.0563888888889	-121.663333333333	-121.663333333333
EMP NZ042	38.0491666666667	38.0491666666667	-122.092222222222	-122.092222222222
EMP NZ046	38.065	38.065	-122.034166666667	-122.034166666667
EMP NZ034	38.0777777777778	38.0777777777778	-121.883333333333	-121.883333333333
EMP NZ060	38.0644444444444	38.0644444444444	-121.828888888889	-121.828888888889
EMP NZ082	38.0897222222222	38.0897222222222	-121.650833333333	-121.650833333333
EMP NZ084	38.1036111111111	38.1036111111111	-121.605555555556	-121.605555555556
EMP NZ058	38.0597222222222	38.0597222222222	-121.868333333333	-121.868333333333
EMP NZS42	38.1805555555556	38.1805555555556	-122.047222222222	-122.047222222222
EMP NZ066	38.1086111111111	38.1086111111111	-121.714444444444	-121.714444444444
EMP NZ033	38.1352777777778	38.1352777777778	-121.912222222222	-121.912222222222
EMP NZ062	38.0616666666667	38.0616666666667	-121.796111111111	-121.796111111111
EMP NZ072	38.0316666666667	38.0316666666667	-121.835277777778	-121.835277777778
EMP NZ038	38.0744444444444	38.0744444444444	-121.988888888889	-121.988888888889
