name	name_type	name_resolved	authority_system	authority_id
Americophium	scientific	Americophium	NA	NA
Corophium	scientific	Corophium	World Register of Marine Species	101489
Gammarus	scientific	Gammarus	World Register of Marine Species	101537
Americorophium spinicorne	scientific	Americorophium spinicorne	GBIF Backbone Taxonomy	2217313
Americorophium stimpsoni	scientific	Americorophium stimpsoni	ITIS	656747
Ampelisca abdita	scientific	Ampelisca abdita	ITIS	93329
Amphipoda	scientific	Amphipoda	World Register of Marine Species	1135
Ampithoe	scientific	Ampithoe	World Register of Marine Species	101459
Caprellidae	scientific	Caprellidae	World Register of Marine Species	101361
Corophiidae	scientific	Corophiidae	World Register of Marine Species	101376
Crangonyx	scientific	Crangonyx	ITIS	95081
Eogammarus	scientific	Eogammarus	World Register of Marine Species	422834
Gammaridae	scientific	Gammaridae	World Register of Marine Species	101383
Gammarus daiberi	scientific	Gammarus daiberi	ITIS	93779
Grandidierella	scientific	Grandidierella	World Register of Marine Species	205825
Grandidierella japonica	scientific	Grandidierella japonica	ITIS	93643
Hyalella	scientific	Hyalella	ITIS	94025
Monocorophium	scientific	Monocorophium	World Register of Marine Species	148591
Oedicerotidae	scientific	Oedicerotidae	World Register of Marine Species	101400
Pleustidae	scientific	Pleustidae	World Register of Marine Species	101404
Melita	scientific	Melita	World Register of Marine Species	101679
Sinocorophium alienense	scientific	Sinocorophium alienense	ITIS	656764
Talitridae	scientific	Talitridae	World Register of Marine Species	101411
Araneae	scientific	Araneae	World Register of Marine Species	150467
Galba	scientific	Galba	ITIS	1132456
Lymnaea	scientific	Lymnaea	ITIS	76484
Melanoides tuberculata	scientific	Melanoides tuberculata	GBIF Backbone Taxonomy	4362965
Acartia	scientific	Acartia	World Register of Marine Species	104108
Acartiella sinensis	scientific	Acartiella sinensis	GBIF Backbone Taxonomy	2114423
Arctodiaptomus dorsalis	scientific	Arctodiaptomus dorsalis	ITIS	572714
Calanoida	scientific	Calanoida	World Register of Marine Species	1100
Diaptomus dorsalis	scientific	Diaptomus dorsalis	ITIS	85794
Diaptomus siciloides	scientific	Diaptomus siciloides	ITIS	85793
Diaptomus	scientific	Diaptomus	ITIS	85780
Eurytemora affinis	scientific	Eurytemora affinis	ITIS	85863
Eurytemora	scientific	Eurytemora	World Register of Marine Species	104240
Hesperodiaptomus californiensis	scientific	Hesperodiaptomus californiensis	ITIS	666942
Hesperodiaptomus franciscanus	scientific	Hesperodiaptomus franciscanus	ITIS	666944
Hesperodiaptomus	scientific	Hesperodiaptomus	ITIS	666871
Leptodiaptomus siciloides	scientific	Leptodiaptomus siciloides	ITIS	85843
Osphranticum labronectum	scientific	Osphranticum labronectum	ITIS	85778
Osphranticum	scientific	Osphranticum	World Register of Marine Species	347646
Pseudodiaptomus	scientific	Pseudodiaptomus	World Register of Marine Species	157680
Pseudodiaptomus forbesi	scientific	Pseudodiaptomus forbesi	ITIS	666993
Sinocalanus doerrii	scientific	Sinocalanus doerrii	GBIF Backbone Taxonomy	4331540
Skistodiaptomus pallidus	scientific	Skistodiaptomus pallidus	ITIS	666978
Skistodiaptomus	scientific	Skistodiaptomus	ITIS	85844
Tortanus	scientific	Tortanus	World Register of Marine Species	157683
Acartiella	scientific	Acartiella	World Register of Marine Species	345327
Diaptomidae	scientific	Diaptomidae	ITIS	85779
Pseudodiaptomus euryhalinus	scientific	Pseudodiaptomus euryhalinus	ITIS	85853
Pseudodiaptomus marinus	scientific	Pseudodiaptomus marinus	ITIS	550441
Sinocalanus	scientific	Sinocalanus	World Register of Marine Species	348013
Tortanus dextrilobatus	scientific	Tortanus dextrilobatus	ITIS	667001
Tortanus discaudatus	scientific	Tortanus discaudatus	ITIS	86100
Alona	scientific	Alona	World Register of Marine Species	148383
